Flag,UTC,t_rel_s,Flight_Time_(s),Sync,Row
LT_FANG1.1,2025-08-21T14:11:44.332000+00:00,0.38,-1.54,105,19
LT_FANG1,2025-08-21T14:11:44.332000+00:00,0.38,-1.54,105,19
LT_FANG1.2,2025-08-21T14:11:44.332000+00:00,0.38,-1.54,105,19
LT_FANG1.3,2025-08-21T14:11:44.332000+00:00,0.38,-1.54,105,19
GT_FANG2.3,2025-08-21T14:11:44.352000+00:00,0.4,-1.52,125,20
GT_FANG2.1,2025-08-21T14:11:44.352000+00:00,0.4,-1.52,125,20
GT_FANG2,2025-08-21T14:11:44.352000+00:00,0.4,-1.52,125,20
GT_FANG2.2,2025-08-21T14:11:44.412000+00:00,0.46,-1.46,185,23
GT_FANG2.2,2025-08-21T14:11:44.632000+00:00,0.68,-1.24,155,34
LT_FANG1.3,2025-08-21T14:11:44.832000+00:00,0.88,-1.04,105,44
LT_FANG1.2,2025-08-21T14:11:44.832000+00:00,0.88,-1.04,105,44
LT_FANG1,2025-08-21T14:11:44.832000+00:00,0.88,-1.04,105,44
LT_FANG1.1,2025-08-21T14:11:44.832000+00:00,0.88,-1.04,105,44
GT_FANG2.1,2025-08-21T14:11:44.852000+00:00,0.9,-1.02,125,45
ECI_Vvel_le_0,2025-08-21T14:11:44.852000+00:00,0.9,-1.02,125,45
GT_FANG2.3,2025-08-21T14:11:44.852000+00:00,0.9,-1.02,125,45
GT_FANG2,2025-08-21T14:11:44.852000+00:00,0.9,-1.02,125,45
GT_FANG2.2,2025-08-21T14:11:44.872000+00:00,0.92,-1.0,145,46
LT_FANG1.2,2025-08-21T14:11:45.332000+00:00,1.38,-0.54,105,69
LT_FANG1.1,2025-08-21T14:11:45.332000+00:00,1.38,-0.54,105,69
LT_FANG1,2025-08-21T14:11:45.332000+00:00,1.38,-0.54,105,69
LT_FANG1.3,2025-08-21T14:11:45.332000+00:00,1.38,-0.54,105,69
GT_FANG2.2,2025-08-21T14:11:45.352000+00:00,1.4,-0.52,125,70
GT_FANG2.1,2025-08-21T14:11:45.352000+00:00,1.4,-0.52,125,70
GT_FANG2.3,2025-08-21T14:11:45.352000+00:00,1.4,-0.52,125,70
GT_FANG2,2025-08-21T14:11:45.352000+00:00,1.4,-0.52,125,70
LT_FANG1,2025-08-21T14:11:45.752000+00:00,1.8,-0.12,25,90
LT_FANG1.3,2025-08-21T14:11:45.752000+00:00,1.8,-0.12,25,90
LT_FANG1.2,2025-08-21T14:11:45.792000+00:00,1.8399999999999999,-0.08,65,92
LT_FANG1.1,2025-08-21T14:11:45.792000+00:00,1.8399999999999999,-0.08,65,92
Normal_Ascent,2025-08-21T14:11:45.872000+00:00,1.92,0.0,145,96
Liftoff,2025-08-21T14:11:45.872000+00:00,1.92,0.0,145,96
LT_TVAL1.2,2025-08-21T14:11:45.892000+00:00,1.94,0.02,165,97
LT_TVAL1.3,2025-08-21T14:11:45.892000+00:00,1.94,0.02,165,97
LT_TVAL1.1,2025-08-21T14:11:45.892000+00:00,1.94,0.02,165,97
LT_TVAL1,2025-08-21T14:11:45.892000+00:00,1.94,0.02,165,97
GT_FUTANG.2,2025-08-21T14:11:46.112000+00:00,2.16,0.24,135,108
GT_FUTANG.3,2025-08-21T14:11:46.112000+00:00,2.16,0.24,135,108
GT_FUTANG,2025-08-21T14:11:46.112000+00:00,2.16,0.24,135,108
GT_FUTANG.1,2025-08-21T14:11:46.112000+00:00,2.16,0.24,135,108
GT_VEL2.3,2025-08-21T14:11:46.752000+00:00,2.8,0.88,25,140
GT_VEL2.2,2025-08-21T14:11:46.752000+00:00,2.8,0.88,25,140
GT_VEL2,2025-08-21T14:11:46.752000+00:00,2.8,0.88,25,140
GT_VEL2.1,2025-08-21T14:11:46.752000+00:00,2.8,0.88,25,140
Burnout_Coast,2025-08-21T14:11:48.872000+00:00,4.92,3.0,145,246
GT_BURN.2,2025-08-21T14:11:48.872000+00:00,4.92,3.0,145,246
GT_BURN.1,2025-08-21T14:11:48.872000+00:00,4.92,3.0,145,246
GT_BURN.3,2025-08-21T14:11:48.872000+00:00,4.92,3.0,145,246
GT_BURN,2025-08-21T14:11:48.872000+00:00,4.92,3.0,145,246
GT_AGL2.1,2025-08-21T14:11:49.072000+00:00,5.12,3.2,95,256
GT_AGL2.3,2025-08-21T14:11:49.072000+00:00,5.12,3.2,95,256
