Flag,UTC,t_rel_s,Flight_Time_(s),Sync,Row
ECI_Vvel_le_0,2025-08-21T14:11:44.852000+00:00,0.9,-1.02,125,45
Normal_Ascent,2025-08-21T14:11:45.872000+00:00,1.92,0.0,145,96
Liftoff,2025-08-21T14:11:45.872000+00:00,1.92,0.0,145,96
Burnout_Coast,2025-08-21T14:11:48.872000+00:00,4.92,3.0,145,246
ECI_Vvel_le_0,2025-08-21T14:12:09.912000+00:00,25.96,24.04,185,1298
Tilt Exceeded 90deg,2025-08-21T14:12:10.032000+00:00,26.08,24.16,55,1304
Apogee,2025-08-21T14:12:10.232000+00:00,26.28,24.36,5,1314
Accel_Vel_LE_0,2025-08-21T14:12:10.232000+00:00,26.28,24.36,5,1314
3rd_fired,2025-08-21T14:12:12.092000+00:00,28.14,26.22,115,1407
Press_Increasing,2025-08-21T14:12:12.612000+00:00,28.66,26.74,135,1433
Apo_fired,2025-08-21T14:12:12.792000+00:00,28.84,26.92,65,1442
4th_fired,2025-08-21T14:12:21.492000+00:00,37.54,35.62,15,1877
Main_fired,2025-08-21T14:12:35.172000+00:00,51.22,49.3,195,2561
