type,flag,UTC,Row,t_rel_s,state
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,1,0.0,
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,16,0.0,
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,18,0.0,
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,39,0.0,
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,56,0.0,
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,73,0.0,
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,76,0.0,
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,107,0.0,
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,124,0.0,
flag_edge,igniter_c,2025-08-21T18:11:46+00:00,133,0.0,
state_change,,2025-08-21T18:11:46+00:00,0,0.0,boost
flag_edge,igniter_c,2025-08-21T18:11:47+00:00,151,1.0,
flag_edge,igniter_c,2025-08-21T18:11:48+00:00,284,2.0,
flag_edge,igniter_c,2025-08-21T18:11:48+00:00,308,2.0,
flag_edge,igniter_c,2025-08-21T18:11:49+00:00,439,3.0,
state_change,,2025-08-21T18:11:49+00:00,361,3.0,coast
state_change,,2025-08-21T18:11:49+00:00,415,3.0,boost
state_change,,2025-08-21T18:11:49+00:00,441,3.0,coast
state_change,,2025-08-21T18:11:49+00:00,442,3.0,boost
state_change,,2025-08-21T18:11:49+00:00,444,3.0,coast
state_change,,2025-08-21T18:11:49+00:00,455,3.0,boost
flag_edge,igniter_c,2025-08-21T18:11:50+00:00,538,4.0,
flag_edge,igniter_c,2025-08-21T18:11:50+00:00,545,4.0,
flag_edge,igniter_c,2025-08-21T18:11:50+00:00,548,4.0,
flag_edge,igniter_c,2025-08-21T18:11:50+00:00,570,4.0,
state_change,,2025-08-21T18:11:50+00:00,467,4.0,coast
flag_edge,igniter_c,2025-08-21T18:11:51+00:00,648,5.0,
flag_edge,igniter_c,2025-08-21T18:11:51+00:00,653,5.0,
flag_edge,igniter_c,2025-08-21T18:11:51+00:00,655,5.0,
flag_edge,igniter_c,2025-08-21T18:11:51+00:00,668,5.0,
flag_edge,igniter_c,2025-08-21T18:11:51+00:00,674,5.0,
flag_edge,igniter_c,2025-08-21T18:11:52+00:00,678,6.0,
flag_edge,igniter_c,2025-08-21T18:11:53+00:00,806,7.0,
flag_edge,igniter_c,2025-08-21T18:11:53+00:00,810,7.0,
flag_edge,igniter_c,2025-08-21T18:11:53+00:00,812,7.0,
flag_edge,igniter_c,2025-08-21T18:11:53+00:00,823,7.0,
flag_edge,igniter_c,2025-08-21T18:11:53+00:00,834,7.0,
